Sample	Total_number_of_reads	Percentage_reads_mapped	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	Run	Duplication	Methode	Number_variants	Perc_dbSNP_variants	Perc_PASS_variants
U177690CM2017D05659	100989974	99.68%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	100492086	100492086	 90708771	1	0.902646	86856797	0.957535	12860875861	6423798030	3235993830	3201084001	4462196173	0.751099	0.248901	0.665004	 95.06745	102.29184	0.423334	0.294063	22.88333	0.015460	1.704864	0.982384	0.975224	0.967553	0.953491	0.924265	0.871862	0.439108	177637143	4.992429	5.078986	5.165543	5.259969	5.360690	5.927246	6.047572	1.242444	170508_NB501012_0135_AHTGMKBGX2	9.7181905866039	Exomes	82808	0.9056975171481016	0.8602792000772872
U177701CM2017D05709	108042071	99.67%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	107485062	107485062	 97427144	1	0.906425	93377884	0.958438	13815709809	6568842865	3717448720	3529418224	4552671917	0.744536	0.255464	0.638602	 97.21401	104.31508	0.404729	0.280505	21.78280	0.014600	1.655795	0.983145	0.975924	0.968595	0.956054	0.931339	0.886267	0.456896	195728047	5.095446	5.179644	5.258228	5.348039	5.435605	5.954264	4.397213	1.326418	170508_NB501012_0135_AHTGMKBGX2	9.33980253186115	Exomes	85371	0.8975998875496363	0.8576800084337772
U177598CF2017D05401	94739529	99.72%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 94256412	 94256412	 85807838	1	0.910366	82383267	0.960090	12198148457	6032984880	3113346056	3051817521	4176770236	0.749813	0.250187	0.659607	 89.28370	 95.87200	0.423881	0.293463	22.65877	0.016653	1.652966	0.981326	0.974119	0.965831	0.950931	0.919735	0.861489	0.386797	181936425	4.907307	4.981291	5.060208	5.151456	5.235799	5.768488	4.585163	1.459606	170508_NB501012_0135_AHTGMKBGX2	8.9424508974465	Exomes	82526	0.9069505368005235	0.8644427210818408
U177665CF2017D05527	100284156	99.71%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 99778810	 99778810	 90261193	1	0.904613	86541244	0.958787	12817880488	6329514270	3127297891	3361068327	4382303397	0.737783	0.262217	0.669307	 93.67212	100.57651	0.420102	0.290862	22.62310	0.016596	1.648795	0.981306	0.973780	0.966099	0.953055	0.926744	0.877600	0.426160	177509064	4.896953	4.975182	5.063842	5.147286	5.234902	5.773118	4.765514	1.450126	170508_NB501012_0135_AHTGMKBGX2	9.5183263056763	Exomes	83473	0.9038850885915206	0.857534771722593
U177625CF2017D05462	85937122	99.71%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 85517118	 85517118	 77949862	1	0.911512	74767214	0.959171	11073590577	5561260089	2764281960	2748048528	3852534007	0.751838	0.248162	0.667976	 82.30253	 88.48593	0.430669	0.298343	23.00821	0.017223	1.669546	0.980608	0.972847	0.963117	0.943430	0.899419	0.823303	0.320658	167902049	4.879486	4.966684	5.053883	5.147789	5.247061	5.826596	5.340945	1.394637	170508_NB501012_0135_AHTGMKBGX2	8.83132186854832	Exomes	83525	0.9035378629152948	0.8591798862615984
U170267CF2017D05661	104191643	99.75%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	103685702	103685702	 93964704	1	0.906246	90141132	0.959308	13349730896	6809964143	3311325464	3228441289	4730550528	0.758164	0.241836	0.672836	100.78242	108.60652	0.434960	0.302145	23.37062	0.016876	1.696977	0.981088	0.974489	0.967766	0.956077	0.932252	0.888992	0.489703	192744429	4.858387	4.931621	5.007568	5.094364	5.172480	5.654198	6.236857	1.208264	170508_NB501012_0135_AHTGMKBGX2	9.35316405934216	Exomes	82919	0.9079221891243261	0.8635777083659957
U175011CM2016D23717	92932269	99.62%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 92309592	 92309592	83603752	1	0.905689	79857922	0.955195	11783146832	6019614840	2970060165	2793471827	4173468221	0.762927	0.237073	0.669614	89.08584	 95.68479	0.431862	0.299415	23.40482	0.015755	1.678680	0.982221	0.974868	0.966280	0.949427	0.914740	0.854025	0.384646	170783454	4.821725	4.900751	4.989356	5.080356	5.180935	5.744177	5.100865	1.191073	170508_NB501039_0117_AHTGWHBGX2	9.40359654969156	Exomes	82277	0.9116764101753831	0.8690277963464881
U176988PF2017D04391	88817427	99.65%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 88204520	 88204520	80116335	1	0.908302	76691799	0.957255	11309155638	5676110168	2932668292	2700377178	3932492741	0.761222	0.238778	0.659340	84.00222	 90.31849	0.426170	0.295257	22.99422	0.017204	1.642154	0.980947	0.973531	0.964395	0.946367	0.906456	0.835158	0.334898	168229748	4.804690	4.887181	4.974255	5.065912	5.159402	5.731340	4.774788	1.244536	170508_NB501039_0117_AHTGWHBGX2	9.13844490635771	Exomes	81637	0.9174393963521442	0.8673028161250413
U176988CM2017D04389	85850087	99.62%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 85277376	 85277376	77506982	1	0.908881	74067697	0.955626	10931122238	5632584491	2750922120	2547615627	3900889577	0.766939	0.233061	0.671865	83.35807	 89.49114	0.437418	0.302937	23.60701	0.016182	1.657243	0.981643	0.974014	0.964050	0.943330	0.900582	0.827581	0.328981	164901824	4.721714	4.808026	4.892126	4.980652	5.081571	5.655218	4.839885	1.253934	170508_NB501039_0117_AHTGWHBGX2	9.08558365905117	Exomes	82279	0.9165279111316375	0.8618116408804191
U173474CM2016D21850	107427611	99.67%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	106670900	106670900	95568926	1	0.895923	91388154	0.956254	13476364506	6692995100	3436975958	3346393448	4640278065	0.751684	0.248316	0.660712	99.05137	106.35933	0.415525	0.288085	22.75337	0.015113	1.661864	0.982769	0.975759	0.968590	0.956378	0.932953	0.890827	0.474237	175209993	4.902285	4.985366	5.071217	5.159837	5.259535	5.817843	4.088448	1.342826	170508_NB501039_0117_AHTGWHBGX2	10.3686503728856	Exomes	82395	0.9161720978214698	0.8638024151950968
U173474PF2017D05732	91753346	99.68%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 91134934	 91134934	81568761	1	0.895033	78011878	0.956394	11514932975	5968923436	2905053863	2640955676	4136556839	0.770649	0.229351	0.672632	88.33564	 95.01907	0.433745	0.300592	23.74830	0.017328	1.667001	0.980673	0.973318	0.964793	0.948847	0.915092	0.854560	0.378172	152396602	4.727402	4.819755	4.914477	5.018671	5.120971	5.768868	4.683871	1.392301	170508_NB501039_0117_AHTGWHBGX2	10.4596777965787	Exomes	81474	0.9190662051697474	0.8695657510371407
U175011PM2017D05681	91235186	99.65%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 90589578	 90589578	82415097	1	0.909764	78778067	0.955869	11611935626	5633046676	3000769390	2978119560	3908525303	0.743529	0.256471	0.652440	83.36491	 89.63393	0.411802	0.285731	22.22474	0.015707	1.659888	0.982258	0.974432	0.964783	0.944696	0.902258	0.829099	0.330529	171262573	5.016902	5.101477	5.190750	5.291770	5.391850	5.989511	4.568176	1.275087	170508_NB501039_0117_AHTGWHBGX2	8.99109228105922	Exomes	82483	0.9116302753294618	0.8701914333862736
U175011PF2017D05432	100673079	99.61%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 99987812	 99987812	90490568	1	0.905016	86569867	0.956673	12767017511	6279244646	3209029349	3278743516	4347275238	0.743186	0.256814	0.661790	92.92817	 99.77767	0.415895	0.287934	22.53284	0.016639	1.635700	0.981258	0.974218	0.966484	0.953305	0.926351	0.876270	0.419789	179260236	4.875799	4.953671	5.041926	5.124990	5.212207	5.747967	4.343987	1.329824	170508_NB501039_0117_AHTGWHBGX2	9.4709923979812	Exomes	83089	0.9122386838209631	0.8694050957407118
U176988PM2017D05688	84621731	99.14%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 84062694	 84062694	76326648	1	0.907973	72440782	0.949089	10672639794	5432278995	2705111462	2535249337	3763551782	0.762453	0.237547	0.667570	80.39370	 86.32443	0.427959	0.296495	23.31891	0.016297	1.660085	0.981677	0.973949	0.963284	0.940160	0.891527	0.810708	0.300415	158336071	4.788060	4.878933	4.974133	5.073661	5.180112	5.803243	4.834244	1.260445	170508_NB501039_0117_AHTGWHBGX2	9.22085666708134	Exomes	82255	0.9170871071667376	0.861528174579053
U142767PF2017D05946	80116775	99.60%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 79610684	 79610684	 71726713	1	0.900968	68665075	0.957315	10130308051	5279233347	2564769279	2286305425	3654666624	0.774310	0.225690	0.673028	 78.12874	 83.97827	0.439160	0.304018	23.87515	0.018074	1.646633	0.980123	0.972367	0.961408	0.937741	0.886263	0.800996	0.279056	142313400	4.653851	4.746942	4.846238	4.957946	5.069655	5.764729	4.722209	1.332145	170510_NB501039_0118_AHMJLGBGX2	9.88049507277424	Exomes	81107	0.9205617271012366	0.8671508007940129
U172638CM2016D23878	108762235	99.59%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	108055990	108055990	 97548744	1	0.902761	93035587	0.953734	13721978128	7063238104	3420593337	3238146687	4899372186	0.764018	0.235982	0.673727	104.53069	112.34179	0.432890	0.300272	23.58224	0.015588	1.676743	0.982180	0.975432	0.968792	0.957807	0.936928	0.899172	0.516396	194510731	4.768945	4.836065	4.914372	4.987085	5.070985	5.527400	5.688053	1.197977	170510_NB501039_0118_AHMJLGBGX2	9.70015578969883	Exomes	83510	0.9089689857502096	0.8594300083822297
U177754CF2017D05808	85983467	99.56%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 85393056	 85393056	 78014323	1	0.913591	74589127	0.956095	10989462833	5374622712	2740775214	2874064907	3726383641	0.738471	0.261529	0.662275	 79.54043	 85.54123	0.416820	0.288993	22.40627	0.016914	1.645024	0.980878	0.972795	0.962770	0.940966	0.892303	0.808857	0.293576	168187545	4.928556	5.021483	5.109986	5.207338	5.302921	5.887037	4.899061	1.242434	170510_NB501039_0118_AHMJLGBGX2	8.61958148904821	Exomes	82850	0.9172963186481593	0.8625588412794206
U142767CM2013D04976	107255964	99.57%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	106552470	106552470	 96035357	1	0.901296	91720871	0.955074	13527114282	6809199526	3381477943	3336436813	4713253393	0.753352	0.246648	0.668179	100.77111	108.07141	0.423210	0.292941	23.06157	0.015541	1.662637	0.982352	0.975400	0.968354	0.956572	0.934458	0.895108	0.488908	186019027	4.841838	4.916388	4.999221	5.082054	5.164888	5.668514	4.279467	1.329254	170510_NB501039_0118_AHMJLGBGX2	9.84843978679729	Exomes	82338	0.9173407175301804	0.8597002599042969
U177756CF2017D05819	112689572	99.58%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	111897388	111897388	101601988	1	0.907992	97136765	0.956052	14311074188	7246829656	3324709724	3739534808	5054687867	0.738696	0.261304	0.685504	107.24771	116.01668	0.428895	0.299156	23.19924	0.016387	1.812761	0.981315	0.974518	0.967018	0.951025	0.921431	0.876872	0.533707	205419146	5.206149	5.284496	5.368646	5.449894	5.533464	6.048811	9.102152	0.929062	170510_NB501039_0118_AHMJLGBGX2	9.1741691880617	Exomes	80703	0.9168804133675328	0.8659777207786575
U142767PM2017D05948	98786273	99.59%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 98109298	 98109298	 88595373	1	0.903027	84684093	0.955852	12482804328	6182040191	3100539007	3200225130	4285146209	0.743629	0.256371	0.665983	 91.48961	 98.27007	0.417296	0.289253	22.68912	0.015569	1.694312	0.982205	0.974723	0.966414	0.950634	0.917955	0.860779	0.406359	172237238	5.018691	5.102606	5.194150	5.293323	5.395547	5.993636	5.349320	1.223749	170510_NB501039_0118_AHMJLGBGX2	9.67080391066648	Exomes	81420	0.9167894866126259	0.8629329403095063
U172638PF2017D02265	106867368	99.61%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	106144908	106144908	 95997684	1	0.904402	91781760	0.956083	13534688643	6687806731	3359619683	3487262229	4630380298	0.742346	0.257654	0.665624	 98.97458	106.26761	0.417261	0.288895	22.63776	0.016553	1.634886	0.981206	0.974073	0.966945	0.955534	0.933646	0.892818	0.473793	189380838	4.848564	4.922893	4.999976	5.079812	5.167356	5.643067	4.558319	1.384703	170510_NB501039_0118_AHMJLGBGX2	9.53255870454457	Exomes	82922	0.9097465087672753	0.8604109886399267
U172638PM2017D02314	76624894	99.60%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 76122108	 76122108	 68830965	1	0.904218	65770783	0.955541	 9703220284	5084386013	2482238828	2136595443	3524836049	0.779806	0.220194	0.671949	 75.24514	 80.92903	0.442334	0.306656	24.00605	0.017219	1.686021	0.980830	0.972614	0.960033	0.930513	0.868940	0.773266	0.254690	141907934	4.734080	4.834764	4.939397	5.053901	5.174722	5.904387	5.243812	1.287661	170510_NB501039_0118_AHMJLGBGX2	9.55384697935782	Exomes	81169	0.9120477029407779	0.8616466877748894
U177773CM2017D05847	103561646	99.54%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	102756970	102756970	 94187216	1	0.916602	 89732513	0.952704	13187473009	6295319252	3127140675	3765013082	4366068759	0.714501	0.285499	0.668118	 93.16606	100.06470	0.405723	0.281386	21.87027	0.015194	1.640405	0.982416	0.974762	0.966497	0.952014	0.923579	0.874005	0.422561	203335813	5.026762	5.090274	5.164370	5.249052	5.318915	5.776196	3.504385	1.205500	170512_NB501012_0137_AHKYKHBGX2	8.31291985694228	Exomes	82637	0.9135133172791848	0.8654113774701405
U177768CM2017D05837	86015217	99.64%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 85399960	 85399960	 78032832	1	0.913734	 74582805	0.955787	10983965362	5443258301	2915607913	2625099148	3774280703	0.761006	0.238994	0.651196	 80.55619	 86.56247	0.422109	0.292684	22.70376	0.015798	1.664663	0.982174	0.974172	0.963615	0.941122	0.893910	0.814745	0.303381	173827590	4.926817	5.013076	5.101546	5.198863	5.294411	5.878315	3.759072	1.311508	170512_NB501012_0137_AHKYKHBGX2	8.59548063151125	Exomes	81401	0.9153081657473495	0.8623726981241017
U177759CM2017D05825	94911036	99.62%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 94248166	 94248166	 85778978	1	0.910139	 81934990	0.955187	12073408323	5950965258	2975917291	3146525774	4125591831	0.739384	0.260616	0.666634	 88.06987	 94.58419	0.418155	0.289892	22.58164	0.015474	1.659372	0.982286	0.974605	0.965619	0.948334	0.913649	0.852570	0.375566	178335936	4.929013	5.016880	5.094984	5.185292	5.280481	5.819398	4.338548	1.324204	170512_NB501012_0137_AHKYKHBGX2	8.95768401084984	Exomes	80926	0.9193831401527321	0.8675333020290141
U177767CM2017D05835	76820932	99.59%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 76258476	 76258476	 69646834	1	0.913300	 66536614	0.955343	 9793073982	4718546777	2644325477	2430201728	3272196696	0.751845	0.248155	0.640857	 69.83099	 75.04068	0.409773	0.284167	22.07431	0.016026	1.667571	0.981975	0.973069	0.958198	0.922555	0.848255	0.736214	0.203042	151598681	5.091287	5.197845	5.296510	5.422801	5.545935	6.294210	3.105611	1.404400	170512_NB501012_0137_AHKYKHBGX2	8.64182430266949	Exomes	81583	0.9163428655479695	0.8617481583172965
U102493PM2009D01303	101394236	99.59%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	100675520	100675520	 89632980	1	0.890316	 85514224	0.954049	12599359480	6164857899	3101032443	3333469138	4275915824	0.735426	0.264574	0.665328	 91.23533	 98.03041	0.405529	0.281273	22.41675	0.015398	1.661532	0.982318	0.974898	0.966131	0.950000	0.918144	0.862588	0.406292	152273652	4.990404	5.084201	5.183209	5.295244	5.406237	6.106586	3.967068	1.406662	170512_NB501012_0137_AHKYKHBGX2	10.935908440519	Exomes	85100	0.9156051703877791	0.8699059929494712
U034855CF2015D24657	100700688	99.62%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	100008922	100008922	 90858028	1	0.908499	 86905445	0.956497	12807459617	6578438305	3293129019	2935892293	4559759483	0.770767	0.229233	0.666403	 97.35601	104.66404	0.435619	0.301944	23.53194	0.016705	1.661334	0.981350	0.974503	0.967189	0.954702	0.930004	0.884189	0.461053	193335335	4.735994	4.806044	4.881282	4.953927	5.041100	5.501871	5.321175	1.285954	170512_NB501012_0137_AHKYKHBGX2	9.1214796907967	Exomes	82089	0.9167854401929613	0.8648174542265102
U102493PF2009D01013	103466872	99.58%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	102774566	102774566	 91585138	1	0.891126	 87439892	0.954739	12892965238	6574779174	3078305726	3239880338	4547919718	0.748709	0.251291	0.681107	 97.30186	104.40921	0.423661	0.293056	23.36288	0.016824	1.631394	0.980871	0.973656	0.965864	0.953375	0.929808	0.886999	0.459766	160357532	4.706949	4.786834	4.874707	4.970569	5.066431	5.628820	3.723710	1.518504	170512_NB501012_0137_AHKYKHBGX2	10.8606331907823	Exomes	85995	0.9146229431943718	0.8689691261119833
U177764CF2017D05827	88611948	99.59%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 87985138	 87985138	 80205712	1	0.911582	 76561585	0.954565	11278121143	5460245767	2819959819	2997915557	3783534503	0.734183	0.265817	0.659434	 80.80759	 86.84610	0.410985	0.284781	22.18061	0.016829	1.670117	0.981264	0.973268	0.963142	0.942353	0.896213	0.816818	0.305169	167971727	5.069459	5.151404	5.247007	5.342610	5.454601	6.077384	4.799475	1.325649	170512_NB501012_0137_AHKYKHBGX2	8.81510891519385	Exomes	84191	0.902412371868727	0.8668622536850732
U175695CF2017D00095	96199315	99.63%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 95613046	 95613046	 85630140	1	0.895591	81897267	0.956407	12091166445	5978958286	2996408088	3115800071	4136384534	0.742308	0.257692	0.666152	 88.48415	 94.98032	0.414125	0.286501	22.65454	0.016748	1.637592	0.980877	0.973113	0.964020	0.947998	0.916330	0.858929	0.378321	155432840	4.870441	4.959858	5.059209	5.161045	5.263874	5.907673	2.990009	1.787734	170512_NB501039_0119_AHMLTGBGX2	10.4155573145095	Exomes	81757	0.9161172743618283	0.8675098156732757
